"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"HONA","Honeywell Aerospace Inc.","Industrials","Aerospace & Defense","69786959872","","","21.1011","","","3.9467797","","","","","0.0","","","17681999872","0.068","0.34894","0.20152001","0.14388","3892999936","","","","989000000","16144000000","","3203000064","1.611","","220.19","231.205","297.5","200.0","242.094","242.094","","1207350","316939750","","0.5952380952380952"
"HON","Honeywell International Inc.","Industrials","Conglomerates","72173092864","98611093504","18.194887","9.962599","2.13","5.310766","1.9164389","2.618","11.566","4.18","9.52","0.74120003","2.02","1778803200","37660000256","0.024","0.36925","0.21","0.1089","8526000128","0.24264","0.05953","257.387","12389999616","37751001088","2936875008","5160999936","1.385","-0.419","227.8","243.41","261.016","196.41931","232.4189","225.93169","0.843","4456808","316826559","300449795","1.0"
"HRL","Hormel Foods Corporation","Consumer Defensive","Packaged Foods","14478785536","14154523648","30.95294","16.857819","1.93","1.8213915","1.1849933","1.158","11.313","4.45","1.17","1.3706","3.21","1783900800","12218454016","-0.029","0.15783","0.11057","0.03821","1251180032","0.05831","0.045819998","4.244","574262976","250000000","471169760","1007758016","1.938","-0.051","26.31","26.51","31.86","19.7","22.3946","23.2619","0.343","5469755","550314959","290571802","1.0"
"HST","Host Hotels & Resorts, Inc.","Real Estate","REIT - Hotel & Motel","17288654848","21196191744","16.952381","24.820719","4.13","2.5","2.7988756","3.431","12.7","3.21","0.8","0.5442","4.49","1782777600","6176999936","0.028","0.28978002","0.19163","0.16367","1668999936","0.1487","0.042140003","80.482","1703000064","5645000192","1190875008","1547000064","2.471","1.053","24.92","25.06","25.41","15.12","22.8314","19.36675","1.127","8821314","684879281","674071886","1.0"
"HWM","Howmet Aerospace Inc.","Industrials","Aerospace & Defense","107456872448","109869867008","62.458138","44.6037","0.8","19.502579","12.4616585","12.741","42.901","0.18","0.48","0.1067","","1778198400","8622999552","0.191","0.35046002","0.28188","0.20225","2560999936","0.33818","0.11918","87.794","2435000064","4848000000","1192749952","2084000000","2.444","0.714","268.57","268.87","290.63","169.45","258.721","226.34995","1.193","2778628","400107483","396066397","0.9761904761904762"
"HPQ","HP Inc.","Technology","Computer Hardware","20704792576","27865794560","8.385185","7.5216193","19.07","-144.20381","0.36060387","0.485","5.914","5.3","1.2","0.4366","3.59","1788912000","57416998912","0.09","0.20315","0.07114","0.044460002","4712000000","","0.058790002","","3703000064","10864000000","3450874880","4593999872","0.794","0.162","22.64","22.88","29.65","17.56","22.8186","22.7764","1.184","19499030","914522690","911239554","0.9523809523809523"
"HUBB","Hubbell Incorporated","Industrials","Electrical Equipment & Parts","27198191616","29430591488","30.402245","22.166668","2.5","7.217011","4.53598","4.908","20.066","1.1","5.68","0.32389998","1.54","1780012800","5996100096","0.111","0.35685003","0.17749001","0.15105","1466700032","0.25822002","0.10195","72.468","516900000","2738700032","541449984","1079000064","1.579","0.125","514.71","517.02","565.4999","402.04","499.6442","475.9998","0.911","630584","52841777","52601875","1.0"
"HUM","Humana Inc.","Healthcare","Healthcare Plans","46691917824","39163916288","41.504803","24.718351","2.17","2.5130208","0.3403201","0.285","11.649","0.91","3.54","0.3778","0.97","1782432000","137200001024","0.235","0.14006","0.04671","0.00824","3361999872","0.062800005","0.036429998","77.073","21965000704","14371000320","1431374976","1844000000","1.771","-0.046","388.9","383.84","390.02","163.11","302.7782","251.1446","0.771","1705476","120061500","119800967","1.0"
"HBAN","Huntington Bancshares Incorporated","Financial Services","Banks - Regional","36123467776","42803466240","13.707692","9.35109","2.07","1.2181283","4.353274","5.158","","3.48","0.62","0.47689998","4.35","1781654400","8297999872","0.336","0.0","0.40698","0.26597","","0.083859995","0.00899","","20139999232","23893000192","","2492999936","","-0.265","17.82","17.79","19.46","14.89","16.5238","16.71435","0.969","22266649","2027130587","2014501563","0.8809523809523809"
"HII","Huntington Ingalls Industries, Inc.","Industrials","Aerospace & Defense","10930283520","13645283328","18.309572","13.81421","1.03","2.1222115","0.8506719","1.062","12.033","1.99","5.52","0.3548","2.12","1780012800","12849000448","0.134","0.12445","0.065510005","0.04709","1134000000","0.12198","0.040999997","56.946","216000000","2931000064","634124992","1200999936","1.191","0.0","277.39","281.99","460.0","237.17","320.8334","346.49496","0.232","521992","39404029","39071459","1.0"
"IBM","International Business Machines Corporation","Technology","Information Technology Services","261288116224","319388123136","24.048443","20.657381","2.54","7.9240656","3.791675","4.635","19.228","2.43","6.76","0.59470004","3.91","1778198400","68910997504","0.095","0.58358","0.13809","0.15606","16611000320","0.35772","0.05369","211.169","11783000064","69802000384","13080750080","13991999488","0.796","0.142","278.0","271.63","332.46","212.34","253.4598","273.8286","0.665","8567006","939885280","937902122","1.0"
"IEX","IDEX Corporation","Industrials","Specialty Industrial Machinery","16724442112","18036142080","33.426037","24.480696","1.94","4.145599","4.737668","5.109","18.953","1.29","2.92","0.42009997","1.23","1783296000","3530099968","0.089","0.44435","0.1989","0.14382","951600000","0.12748","0.06757","46.915","586200000","1899299968","525024992","678400000","3.393","0.278","225.96","227.19","230.18","157.25","214.3198","190.62665","0.991","713344","74015052","73806330","1.0"
"IDXX","IDEXX Laboratories, Inc.","Healthcare","Diagnostics & Research","42275766272","43180687360","39.377663","32.449276","3.53","27.290457","9.508516","9.712","27.933","","","0.0","","","4446094848","0.143","0.62053","0.31783","0.24634","1545885952","0.72915","0.26463","71.04","200528000","1105451008","786844480","1210091008","1.119","0.172","535.93","551.5","769.98","506.91","558.2884","629.5928","1.543","624393","78882997","78584030","0.9047619047619048"
"ITW","Illinois Tool Works Inc.","Industrials","Specialty Industrial Machinery","76951117824","85273116672","24.81169","21.940622","2.65","23.83231","4.7439194","5.257","18.036","2.41","6.44","0.5877","2.26","1782777600","16220999680","0.046","0.44122002","0.25672","0.19320999","4728000000","0.96848","0.17045","283.22","827000000","9148000256","2215749888","3156999936","1.188","0.118","267.47","267.71","303.16","238.82","257.793","260.12177","1.03","1364169","287700000","260613045","1.0"
"INCY","Incyte Corporation","Healthcare","Biotechnology","22907023360","18930626560","16.217821","12.411307","11.68","4.07738","4.2728853","3.531","12.222","","","0.0","","","5361019904","0.209","0.52766","0.25552","0.26707","1548935040","0.30823","0.13888","0.701","4015824896","39430000","558867008","1516781952","3.682","0.838","114.66","113.75","115.56","66.83","99.6426","97.4736","0.79","1656580","199782155","167515339","0.9047619047619048"
"IR","Ingersoll Rand Inc.","Industrials","Specialty Industrial Machinery","31690457088","35414757376","54.716217","21.039616","0.78","3.1141365","4.072643","4.551","17.516","0.1","0.08","0.0541","","1778716800","7781300224","0.076","0.43222","0.17069","0.075440004","2021799936","0.057150003","0.0512","48.353","1291600000","4951199744","1035425024","1299000064","2.227","0.065","80.98","81.37","100.96","68.07","75.9708","81.4297","1.195","4003007","391336834","390092383","0.9761904761904762"
"PODD","Insulet Corporation","Healthcare","Medical Devices","10925809664","11459409920","36.85514","19.512787","1.4","8.387749","3.7664816","3.95","19.036","","","0.0","","","2900800000","0.339","0.71008","0.1603","0.10438","602000000","0.22997999","0.097449996","77.844","480400000","1014000000","253375008","619299968","2.487","1.59","157.74","158.25","354.88","138.79","159.1338","250.53465","1.125","1463733","69264674","68990386","0.9047619047619048"
"INTC","Intel Corporation","Technology","Semiconductors","662024683520","687861727232","","84.70957","1.36","5.939487","12.313761","12.794","48.53","","","0.0","2.69","1722988800","53762998272","0.072","0.372","0.06879","-0.05904","14174000128","-0.02911","0.0063099996","36.028","32789000192","45030998016","-8301250048","9980000256","2.312","","131.72","128.32","141.45","18.97","109.6504","58.76685","2.228","135549803","5026000000","5016601380","0.9047619047619048"
"IBKR","Interactive Brokers Group, Inc.","Financial Services","Capital Markets","149606793216","-37263245312","38.51528","30.657785","2.42","7.035176","23.212845","-5.782","","0.4","0.35","0.1373","0.51","1780272000","6445000192","0.168","0.93017995","0.76811","0.16106","","0.2356","0.024249999","152.192","124586000384","32355999744","","16837999616","1.101","0.229","88.2","89.82","97.84","53.14","85.4932","73.0929","1.329","4890471","445484364","432467699","0.9285714285714286"
