"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"MTS.MC","ArcelorMittal S.A.","Basic Materials","Steel","38976905216","50548719616","15.379105","11.019143","0.42","0.8089536","0.62854826","0.815","11.507","0.99","0.51","0.1832","1.39","1785974400","62010998784","0.045","0.074200004","0.048720002","0.047119997","4392999936","0.054330003","0.01051","23.917","4359000064","13683000320","-2022875008","5152999936","1.386","-0.279","51.52","52.52","62.56","25.95","54.8608","44.65485","1.734","239711","756539353","420239420","1.0"
"NTGY.MC","Naturgy Energy Group, S.A.","Utilities","Utilities - Regulated Gas","25679630336","40065630208","12.542986","13.5981","6.98","3.2090762","1.3461748","2.1","7.995","8.55","2.37","0.7989","6.0","1774569600","19075999744","-0.069","0.40171","0.17918","0.10731","5011250176","0.22013001","","167.752","4745999872","16999999488","","","1.133","","27.72","27.92","29.94","24.3","28.0664","26.5896","0.448","2545954","926393571","258213680","0.9047619047619048"
"PUIG.MC","Puig Brands SA","Consumer Defensive","Household & Personal Products","15517149184","9870452736","15.447619","13.71879","2.78","2.3432534","3.0775623","1.958","10.239","2.6","0.42","0.35889998","","1781481600","5042025984","0.047","0.75107","0.18378","0.11775","963990016","0.16568","0.060960002","44.941","1036862016","1758008960","947189760","859048000","1.124","-0.154","16.22","15.94","18.89","13.11","16.822","15.6947","0.372","821243","169933011","19952099","0.9761904761904762"
"RED.MC","Redeia Corporación, S.A.","Utilities","Utilities - Regulated Electric","8094401536","13672477696","15.93617","15.61946","4.76","1.5440116","4.6033893","7.776","12.454","5.34","0.8","0.8521","5.79","1782691200","1758356992","0.069","0.98293","0.42962003","0.28899","1097840000","0.09794","0.02538","117.492","908300032","6477700096","56348124","930937984","1.141","","14.98","14.82","18.42","14.15","14.9046","15.2811","0.454","1575640","540347283","405629876","0.9761904761904762"
"REP.MC","Repsol, S.A.","Energy","Oil & Gas Integrated","23578230784","33019232256","10.079438","6.4991217","0.42","1.0606284","0.47576085","0.666","6.408","5.11","1.1","0.4673","5.77","1783296000","49558999040","0.084","0.29479998","0.12274","0.04968","5152999936","0.09488","0.03652","49.173","8169999872","14120999936","222624992","5383000064","1.429","1.733","21.57","21.24","24.9","12.3","22.1276","18.6201","-0.154","4196676","1093102930","1131306744","1.0"
"ROVI.MC","Laboratorios Farmaceuticos Rovi, S.A.","Healthcare","Drug Manufacturers - Specialty & Generic","3002475520","3032348416","22.75194","16.916622","1.26","4.455408","4.0514593","4.092","16.53","1.63","0.96","0.36220002","1.61","1783900800","741084992","-0.015","0.6397","0.064840004","0.17787","183444992","0.20485","0.11504","16.664","97391000","114439000","75694248","181192992","3.655","","58.7","58.6","86.7","51.65","64.247","67.4805","0.218","142136","51149498","16209276","0.9761904761904762"
"SAB.MC","Banco de Sabadell, S.A.","Financial Services","Banks - Diversified","14970885120","30969040896","13.421739","9.687745","4.4","1.0862069","3.4933584","7.226","","6.62","0.2","0.6041","5.54","1779840000","4285528064","-0.107","0.0","0.50191003","0.38115","","0.08727","0.00504","","14119000064","29863000064","","","","-0.228","3.087","3.084","3.52","2.668","3.14202","3.203035","0.505","22541809","4849655147","4908438000","0.8571428571428571"
"SAN.MC","Banco Santander, S.A.","Financial Services","Banks - Diversified","170862182400","264443314176","13.543182","9.754461","3.82","1.634618","3.6066656","5.582","","2.1","0.25","0.2545","3.15","1777507200","47374000128","0.046","0.0","0.43257","0.34098998","","0.12886","0.0077600004","","307914997760","392526004224","","-15418000384","","0.674","11.918","11.83","12.054","6.918","10.7779","9.958385","0.95","26530139","14336481759","14301145115","0.8809523809523809"
"SCYR.MC","Sacyr, S.A.","Industrials","Engineering & Construction","3702707200","11706173440","38.583336","20.161993","177.83","3.7069657","0.78436065","2.48","9.531","4.32","0.2","0.76379997","4.13","1782691200","4720669184","0.054","0.66522","0.20836","0.020450002","1228249472","0.11304","0.03711","415.893","2203490048","9033755648","","","1.178","","4.63","4.616","4.936","3.44","4.655","4.15887","0.781","2484644","799720793","541954787","0.9285714285714286"
"SLR.MC","Solaria Energía y Medio Ambiente, S.A.","Utilities","Utilities - Renewable","2843762176","4139983104","19.49091","13.109622","","3.39832","8.306544","12.093","13.883","","","0.0","","1317600000","342352000","0.486","0.99644","0.83389","0.48018003","298194752","0.22775","0.069120005","206.766","56500000","1592099968","","","0.592","","21.44","21.5","25.85","9.7","23.4892","19.078875","1.128","824275","132638164","37112309","0.8333333333333334"
"TEF.MC","Telefónica, S.A.","Communication Services","Telecom Services","20240125952","59724341248","","9.135093","0.38","1.4178514","0.56369764","1.663","8.472","4.18","0.15","1.1111","7.8","1781568000","35905998848","-0.124","0.45129","0.13287","-0.09538999","7049999872","-0.08895001","0.0097","230.558","6269000192","42069999616","3536624896","9392000000","0.841","","3.59","3.651","4.893","3.236","3.87348","3.80462","0.289","13121625","5637918350","3924360040","0.9523809523809523"
"UNI.MC","Unicaja Banco, S.A.","Financial Services","Banks - Regional","7910056960","4635372032","12.833333","11.602938","","1.1187794","3.9894314","2.338","","5.6","0.17","0.5726","4.13","1776729600","1982753024","0.021","0.0","0.46964002","0.32044","","0.09184","0.0064999997","","8188000256","4892000256","","","","","3.08","3.092","3.194","1.958","2.85004","2.64473","0.389","5316660","2568200415","923038348","0.8095238095238095"
