"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"EMA.TO","Emera Incorporated","Utilities","Utilities - Regulated Electric","23174983680","46110982144","23.168196","20.815018","2.85","1.81435","2.6001327","5.173","13.534","3.86","2.92","0.8914","4.89","1777593600","8913000448","0.051","0.43689","0.33523","0.12005","3407000064","0.07665","0.02854","168.664","2456999936","23957000192","-2061624960","1838000000","1.066","-0.056","75.76","76.23","76.45","61.33","72.5008","69.45175","0.454","1232318","305900000","304801819","1.0"
"ENB.TO","Enbridge Inc.","Energy","Oil & Gas Midstream","171682217984","289984217088","27.017181","24.53088","5.63","2.952753","2.4863825","4.2","17.001","4.94","3.88","1.2873","6.42","1778803200","69048999936","0.208","0.38861","0.14734","0.1","17057000448","0.10127","0.03171","160.133","1706000000","109671997440","-1430499968","11559000064","0.809","-0.262","78.62","79.79","80.65","59.68","76.4244","70.62465","0.807","8356614","2183696415","2180049642","1.0"
"FFH.TO","Fairfax Financial Holdings Limited","Financial Services","Insurance - Property & Casualty","48099778560","60332179456","8.123371","10.002365","0.28","1.3136028","1.2468868","1.564","7.933","0.89","20.77","0.074200004","1.42","1768435200","38575898624","-0.078","0.42960998","0.14423001","0.11723","7604800000","0.17221001","0.04338","45.824","6691800064","14048799744","2420187392","1453500032","2.549","-0.271","2332.22","2347.02","2700.0","2066.16","2266.355","2352.6611","0.45","67404","19076032","18558329","1.0"
"FM.TO","First Quantum Minerals Ltd.","Basic Materials","Copper","30750552064","37797548032","","12.106197","0.96","1.9568018","5.6412683","6.934","22.825","","","0.0","0.42","1692921600","5450999808","0.18","0.25775","0.09972","-0.03687","1656000000","-0.02093","0.022869999","65.769","770000000","7495000064","31625000","2359000064","1.761","","37.13","37.3","46.36","22.16","38.4622","35.1162","1.979","3359592","828186136","672569851","0.9047619047619048"
"FSV.TO","FirstService Corporation","Real Estate","Real Estate Services","9266704384","10919200768","39.515686","21.054932","","4.5696864","1.6655468","1.963","20.373","0.82","1.66","0.3183","0.57","1782777600","5563761152","0.053","0.33565","0.03657","0.029159999","535967008","0.112349994","0.05085","71.663","191419008","1366308992","345576864","492911008","1.742","6.264","201.53","199.77","290.34","169.6","189.7254","213.3743","0.924","146248","45981761","41809376","0.9761904761904762"
"FTS.TO","Fortis Inc.","Utilities","Utilities - Regulated Electric","41794723840","80571015168","24.35905","21.188782","2.82","1.836301","3.415997","6.585","14.25","3.09","2.54","0.7404","3.77","1778803200","12234999808","0.019","0.45509","0.28798","0.14728","5654000128","0.0746","0.02955","133.697","359000000","35411001344","-2650500096","3952000000","0.486","-0.012","82.09","82.57","82.67","63.54","77.9364","74.52525","0.431","1597798","509132995","507796704","1.0"
"FNV.TO","Franco-Nevada Corporation","Basic Materials","Gold","56732315648","56203665408","29.15461","21.580748","9.18","4.9293613","27.174555","26.921","29.264","0.85","2.51","0.2225","0.92","1781136000","2087699968","0.777","0.91823995","0.79260004","0.65666","1920600064","0.19041","0.13019","","714700032","0","-827950016","1725200000","6.155","1.231","294.17","305.32","388.22","210.19","314.3324","313.13705","0.889","380242","192855530","192957843","0.9761904761904762"
"WN.TO","George Weston Limited","Consumer Defensive","Grocery Stores","38665822208","65656823808","37.981483","19.192152","1.28","9.528013","0.59398156","1.009","9.607","1.26","1.29","0.4414","1.5","1781481600","65095999488","0.042","0.31967","0.07849","0.0179","6833999872","0.19379999","0.06949","163.632","1238000000","20039999488","4889999872","6848000000","1.114","0.308","102.55","104.46","106.17","82.77","98.9028","95.0886","0.508","356482","377043624","153403969","1.0"
"GIL.TO","Gildan Activewear Inc.","Consumer Cyclical","Apparel Manufacturing","13573765120","18352277504","30.16461","9.597626","0.55","2.8097603","3.3322053","4.505","19.431","1.9","1.39","0.5421","1.77","1779235200","4073508096","0.638","0.32601002","0.13328","0.06098","944505024","0.105629995","0.07007","149.31","309662016","5088175104","-1079360000","469073984","2.346","","73.3","74.89","100.44","63.41","79.662","83.24575","1.112","647765","185180953","183112482","0.9761904761904762"
"H.TO","Hydro One Limited","Utilities","Utilities - Regulated Electric","35399663616","54644662272","25.872808","24.786444","3.42","2.755126","3.8142078","5.888","16.824","2.39","1.41","0.5844","2.9","1781049600","9281000448","0.1","0.36505002","0.23489","0.14783","3248000000","0.109230004","0.03691","147.794","37000000","19160000512","-1412875008","2579000064","0.536","0.088","58.99","59.23","60.46","47.54","57.7836","55.0988","0.398","1326870","600096020","600060014","1.0"
